Company,Role,Email
The Matcher Limited,R&D Software Engineer,recruitment@the-matcher.com
"Beijing Science and Technology Co., Three Fast (北京三快在线科技有限公司)",Meituan 2025 Campus Recruitment,
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",【服务器开发工程师（web3方向）】,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",产品经理（web3方向）,campus@xunlei.com
OKBL Technology Company Limited,Graduate HIre - Software Engineer,
OKBL Technology Company Limited,Graduate Hire - Product Manager,
Linjer Limited,Jewellery Quality Control Inspector & Returns Manager,
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",UX设计师,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",iOS开发,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",Android开发,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",测试工程师,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",服务器开发工程师,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd (深圳市迅雷网络技术有限公司)",产品星,campus@xunlei.com
Hong Kong Technology Venture Company Limited,Management Trainee / Graduate Trainee 2026,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",C++ Development Engineer,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",Java Development Engineer,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",Large Model R&D Engineer,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",AI/Large Model Product Manager,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",Machine Learning / Data Mining / Natural Language Processing Engineer,
YesStyle.com,Marketing Executive (Arabic Speaking) - Influencer Program,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",Product Manager,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",Computer Vision Algorithm Research and Development Engineer,
"Baidu Online Network Technology (Beijing) Co., Ltd. (百度在线网络技术（北京）有限公司)",Machine Learning / Data Mining / Natural Language Processing Engineer,
DiDi Global Inc. (滴滴全球股份有限公司),Various Positions,
Meituan,AI Product Manager Program,
The Matcher Limited,R&D Software Engineer,recruitment@the-matcher.com
Linjer Limited,Business Analyst,
Linjer Limited,Paid Marketing Manager,
Linjer Limited,Marketing Associate,
Linjer Limited,Customer Service Manager (E-Commerce),
Linjer Limited,Digital Marketing Analyst,
Linjer Limited,Influencer Marketing Management Trainee Program,
Kuaishou,Star-X Program - Various Positions,
Linjer Limited,Operations Associate,
Linjer Limited,Customer Care Associate,
Linjer Limited,Customer Service Operations Associate,
Linjer Limited,Ad Operations Executive,
Linjer Limited,E-Commerce Operations Associate (Graduate),
Linjer Limited,Returns & Warehouse Manager,
