Company,Role,Email
The Matcher Limited,R&D Software Engineer,recruitment@the-matcher.com
"Shenzhen Xunlei Network Technology Co., Ltd",【（web3）】,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd",（web3）,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd",UX,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd",iOS,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd",Android,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd",,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd",,campus@xunlei.com
"Shenzhen Xunlei Network Technology Co., Ltd",,campus@xunlei.com
The Matcher Limited,R&D Software Engineer,recruitment@the-matcher.com
Wave Commerce,Business Associate (Business Development & Client Success),jobs+ba@wavecommerce.hk
Delivery Hero Food Hong Kong Limited,Sales Executive,hk_recruit@foodpanda.hk
Pattern Holdings Company Limited,Management Trainee,grace.wong@patternasia.com
Aloha Group Limited,Digital Account Executive,info@alohaonline.asia
Wave Commerce,Client Success Associate,jobs+ba@wavecommerce.hk
Dropcases Limited,Graduate Trainee – Supply Chain,kirsten.ho@ev-lectron.com
Dropcases Limited,Marketing & Business Development Associate,kirsten.ho@ev-lectron.com
"Beijing Science and Technology Co., Three Fast",2025,hejing41@meituan.com
"Beijing Science and Technology Co., Three Fast",2026,hejing41@meituan.com
YesStyle.com Limited,Software Development and System Analyst Graduate Trainee,ys-hr-ta@yesstyle.com
Wave Commerce,Full Stack Engineer,jobs+eng@wavecommerce.hk
Wave Commerce,Business Associate (Ecommerce / Digital Marketing),jobs+ba@wavecommerce.hk
Microware Technology Limited,AI News Editor,yhwang@microware1985.com
Microware Technology Limited,User Research Specialist,yhwang@microware1985.com
Microware Technology Limited,AI Product Business Development Specialist,yhwang@microware1985.com
Microware Technology Limited,AI Product Operations and Technical Support,yhwang@microware1985.com
Microware Technology Limited,Algorithm Engineer,yhwang@microware1985.com
Microware Technology Limited,AI Product Operations Manager,yhwang@microware1985.com
Microware Technology Limited,Back-End Developer,yhwang@microware1985.com
Microware Technology Limited,Front-End Developer,yhwang@microware1985.com
Microware Technology Limited,Digital Marketing Specialist,yhwang@microware1985.com
"IEIT SYSTEMS Co., Ltd.",Thermal Design Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",System Modeling and Simulation Researcher,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Storage System Performance Researcher,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Global Supply Delivery Management Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Global intelligent manufacturing engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Global Pre-sale Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Software R&D Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Global Sale Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Software R&D Engineer,qixiao01@ieisystem.com
"IEIT SYSTEMS Co., Ltd.",Hardware R&D engineer,qixiao01@ieisystem.com
Aloha Group Limited,Digital Account Executive,info@alohaonline.asia
